Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Seed Round - Ledgersync,https://www.crunchbase.com/funding_round/ledgersync-seed--88cf6109,Ledgersync,https://www.crunchbase.com/organization/ledgersync,Seed,180000,USD,180000,2017-07-01,"Accounting, Banking, Financial Services, Software","Santa Monica, California, United States, North America",$1M to $10M,3,Seed
Seed Round - Just Appraised,https://www.crunchbase.com/funding_round/just-appraised-seed--a4fbc472,Just Appraised,https://www.crunchbase.com/organization/just-appraised,Seed,120000,USD,120000,2017-07-01,"GovTech, Information Technology, Machine Learning, Real Estate","Palo Alto, California, United States, North America",Less than $1M,2,Seed
Seed Round - Globevestor,https://www.crunchbase.com/funding_round/globevestor-seed--82263fd1,Globevestor,https://www.crunchbase.com/organization/globevestor,Seed,,,,2017-07-01,"Finance, Venture Capital","San Mateo, California, United States, North America",$1M to $10M,2,Seed
Seed Round - Mendel.ai,https://www.crunchbase.com/funding_round/mendel-health-seed--6318b5d3,Mendel.ai,https://www.crunchbase.com/organization/mendel-health,Seed,2000000,USD,2000000,2017-07-01,"Artificial Intelligence, Clinical Trials, Computer Vision, Genetics, Health Care, Life Science, Machine Learning, Medical","San Jose, California, United States, North America",$1M to $10M,5,Seed
Seed Round - Actijoy,https://www.crunchbase.com/funding_round/actijoy-seed--e9355611,Actijoy,https://www.crunchbase.com/organization/actijoy,Seed,100000,USD,100000,2017-07-01,"Fitness, Health Care, Lifestyle, Nutrition, Pet, Wearables","San Francisco, California, United States, North America",,3,Seed
Seed Round - SMBRate,https://www.crunchbase.com/funding_round/smbrate-seed--f66bced7,SMBRate,https://www.crunchbase.com/organization/smbrate,Seed,120000,USD,120000,2017-07-01,"Commercial Lending, Financial Services, Small and Medium Businesses","Mountain View, California, United States, North America",,1,Seed
Venture Round - Smart Orbis,https://www.crunchbase.com/funding_round/smart-orbis-series-unknown--8db319d8,Smart Orbis,https://www.crunchbase.com/organization/smart-orbis,Venture - Series Unknown,,,,2017-07-01,"Cloud Security, Cyber Security, Information Technology, Network Security, Security","Santa Clara, California, United States, North America",$1M to $10M,3,
Convertible Note - Magnetic Insight,https://www.crunchbase.com/funding_round/magnetic-insight-inc-convertible-note--a1866242,Magnetic Insight,https://www.crunchbase.com/organization/magnetic-insight-inc,Convertible Note,2500000,USD,2500000,2017-07-01,"Health Care, Life Science, Medical Device","Alameda, California, United States, North America",$1M to $10M,5,Early Stage Venture
Seed Round - DeepAffects,https://www.crunchbase.com/funding_round/seernet-technologies-seed--58e4c9b6,DeepAffects,https://www.crunchbase.com/organization/seernet-technologies,Seed,200000,USD,200000,2017-07-01,"Analytics, Artificial Intelligence, Computer, Information Technology, Software, Speech Recognition","Milpitas, California, United States, North America",,1,Seed
Pre Seed Round - Shipsi,https://www.crunchbase.com/funding_round/shipsi-inc-pre-seed--befaba3e,Shipsi,https://www.crunchbase.com/organization/shipsi-inc,Pre-Seed,500000,USD,500000,2017-07-01,"E-Commerce, Information Services, Information Technology","Venice, California, United States, North America",$1M to $10M,6,Seed
Grant - dfusion,https://www.crunchbase.com/funding_round/dfusion-grant--1d4797a9,dfusion,https://www.crunchbase.com/organization/dfusion,Grant,225000,USD,225000,2017-07-01,"Health Care, Innovation Management, Social Impact","Scotts Valley, California, United States, North America",Less than $1M,2,Seed
Seed Round - Prelim,https://www.crunchbase.com/funding_round/original-tech-seed--d576a106,Prelim,https://www.crunchbase.com/organization/original-tech,Seed,2000000,USD,2000000,2017-07-01,"Banking, FinTech, Lending","San Francisco, California, United States, North America",,2,Seed
Seed Round - Net30,https://www.crunchbase.com/funding_round/net30-seed--00adfc5d,Net30,https://www.crunchbase.com/organization/net30,Seed,120000,USD,120000,2017-07-01,"FinTech, Payments, Software","San Jose, California, United States, North America",,1,Seed
Grant - Voxel Healthcare,https://www.crunchbase.com/funding_round/voxel-healthcare-grant--44d0f8e8,Voxel Healthcare,https://www.crunchbase.com/organization/voxel-healthcare,Grant,225000,USD,225000,2017-07-01,"Artificial Intelligence, Health Care, Medical","Los Angeles, California, United States, North America",Less than $1M,3,
Series B - Kineticor,https://www.crunchbase.com/funding_round/kineticor-28dc-series-b--6d6d1ea3,Kineticor,https://www.crunchbase.com/organization/kineticor-28dc,Series B,2500000,USD,2500000,2017-07-01,"Health Care, Medical Device","San Diego, California, United States, North America",Less than $1M,1,Early Stage Venture
Pre Seed Round - Rocket,https://www.crunchbase.com/funding_round/rocket-pre-seed--7b1ff27d,Rocket,https://www.crunchbase.com/organization/rocket,Pre-Seed,,,,2017-07-02,"Artificial Intelligence, Information Technology, Internet, Recruiting","San Francisco, California, United States, North America",,2,Seed
Seed Round - RIGS Inc,https://www.crunchbase.com/funding_round/rigs-seed--b385cc20,RIGS Inc,https://www.crunchbase.com/organization/rigs,Seed,100000,USD,100000,2017-07-03,"Automotive, E-Commerce, Information Technology, Service Industry","San Jose, California, United States, North America",Less than $1M,2,Seed
Convertible Note - BioVentrix,https://www.crunchbase.com/funding_round/bioventrix-convertible-note--f8ddb231,BioVentrix,https://www.crunchbase.com/organization/bioventrix,Convertible Note,14504967,USD,14504967,2017-07-03,"Biotechnology, Health Care, Medical Device","San Ramon, California, United States, North America",$10M to $50M,4,
Venture Round - Health Essentials,https://www.crunchbase.com/funding_round/health-essentials-series-unknown--73ca9352,Health Essentials,https://www.crunchbase.com/organization/health-essentials,Venture - Series Unknown,8500000,USD,8500000,2017-07-05,"Biotechnology, Health Care, Pharmaceutical","Santa Ana, California, United States, North America",$1M to $10M,3,
Seed Round - Zensoft.IO,https://www.crunchbase.com/funding_round/zensoft-io-seed--22530dac,Zensoft.IO,https://www.crunchbase.com/organization/zensoft-io,Seed,300000,USD,300000,2017-07-05,"Computer, Information Services, Information Technology, Software","San Francisco, California, United States, North America",$1M to $10M,1,Seed
Debt Financing - Outset Medical,https://www.crunchbase.com/funding_round/outset-medical-debt-financing--18b5d474,Outset Medical,https://www.crunchbase.com/organization/outset-medical,Debt Financing,4287536,USD,4287536,2017-07-05,"Health Care, Health Diagnostics, Medical, Medical Device","San Jose, California, United States, North America",$10M to $50M,7,Late Stage Venture
Seed Round - Bucket Technologies,https://www.crunchbase.com/funding_round/bucket-technologies-seed--1aeb4c24,Bucket Technologies,https://www.crunchbase.com/organization/bucket-technologies,Seed,1500000,USD,1500000,2017-07-05,"FinTech, Retail, Retail Technology","Santa Ana, California, United States, North America",Less than $1M,1,Seed
Grant - dr Poket Inc,https://www.crunchbase.com/funding_round/dr-poket-grant--8b5aff74,dr Poket Inc,https://www.crunchbase.com/organization/dr-poket,Grant,50000,EUR,56733,2017-07-05,"Health Care, Medical, mHealth, Wellness","Sunnyvale, California, United States, North America",Less than $1M,4,
Grant - Quantbio,https://www.crunchbase.com/funding_round/quantbio-grant--c1cb37fa,Quantbio,https://www.crunchbase.com/organization/quantbio,Grant,35000,EUR,39713,2017-07-05,"Health Care, Life Science","Beverly Hills, California, United States, North America",$500M to $1B,1,
"Seed Round - QubeChain, LLC.",https://www.crunchbase.com/funding_round/qubechain-llc-seed--3c27bf35,"QubeChain, LLC.",https://www.crunchbase.com/organization/qubechain-llc,Seed,1800000,USD,1800000,2017-07-05,"Blockchain, Information Services, Information Technology, Virtual Currency","Santa Monica, California, United States, North America",Less than $1M,3,Early Stage Venture
Private Equity Round - Leonard Green & Partners,https://www.crunchbase.com/funding_round/leonard-green-partners-private-equity--1192d23c,Leonard Green & Partners,https://www.crunchbase.com/organization/leonard-green-partners,Private Equity,,,,2017-07-06,"Health Care, Impact Investing, Retail","Los Angeles, California, United States, North America",,1,Private Equity
Series B - Innovative Cardiovascular Solutions,https://www.crunchbase.com/funding_round/innovative-cardiovascular-solutions-series-b--a68dd606,Innovative Cardiovascular Solutions,https://www.crunchbase.com/organization/innovative-cardiovascular-solutions,Series B,5000000,USD,5000000,2017-07-06,"Biotechnology, Health Care, Medical Device","Mi Wuk Village, California, United States, North America",$1M to $10M,4,Late Stage Venture
Venture Round - Stroke Project,https://www.crunchbase.com/funding_round/stroke-project-series-unknown--87dfff40,Stroke Project,https://www.crunchbase.com/organization/stroke-project,Venture - Series Unknown,20999993,USD,20999993,2017-07-06,"Health Care, Medical, Medical Device","Sunnyvale, California, United States, North America",,2,
Venture Round - RBO Ventures,https://www.crunchbase.com/funding_round/rbo-ventures-series-unknown--4aceeb92,RBO Ventures,https://www.crunchbase.com/organization/rbo-ventures,Venture - Series Unknown,1655487,USD,1655487,2017-07-07,"Financial Services, Venture Capital","Santa Monica, California, United States, North America",,1,
Seed Round - datavest,https://www.crunchbase.com/funding_round/datavest-seed--41be23e1,datavest,https://www.crunchbase.com/organization/datavest,Seed,235000,USD,235000,2017-07-07,"Big Data, Blockchain, Financial Services, Wealth Management","Pasadena, California, United States, North America",,1,Seed
Venture Round - DIVA Corp of America,https://www.crunchbase.com/funding_round/diva-corp-of-america-series-unknown--2a808fbe,DIVA Corp of America,https://www.crunchbase.com/organization/diva-corp-of-america,Venture - Series Unknown,1000000,USD,1000000,2017-07-07,"Accounting, Consulting, Information Services, Information Technology","Burlingame, California, United States, North America",,1,
Venture Round - PayStand,https://www.crunchbase.com/funding_round/paystand-series-unknown--fa99e218,PayStand,https://www.crunchbase.com/organization/paystand,Venture - Series Unknown,,,,2017-07-10,"B2B, Billing, Bitcoin, FinTech, Payments, SaaS","Scotts Valley, California, United States, North America",Less than $1M,10,Early Stage Venture
Convertible Note - Freedcamp,https://www.crunchbase.com/funding_round/freedcamp-convertible-note--a8824be3,Freedcamp,https://www.crunchbase.com/organization/freedcamp,Convertible Note,50000,USD,50000,2017-07-10,"Collaboration, Enterprise Software, Information Technology, Messaging, Project Management, Social Media, Software","Santa Barbara, California, United States, North America",Less than $1M,6,Seed
Private Equity Round - EP Wealth Advisors,https://www.crunchbase.com/funding_round/ep-wealth-advisors-private-equity--17975a7b,EP Wealth Advisors,https://www.crunchbase.com/organization/ep-wealth-advisors,Private Equity,,,,2017-07-10,"Asset Management, Financial Services, Property Management, Real Estate, Security","Torrance, California, United States, North America",Less than $1M,1,Private Equity
Series A - nPhase,https://www.crunchbase.com/funding_round/nphase-series-a--2984fa99,nPhase,https://www.crunchbase.com/organization/nphase,Series A,,,,2017-07-10,"Cloud Computing, Information Technology, Security","San Diego, California, United States, North America",,2,M&A
Series E - Talari Networks,https://www.crunchbase.com/funding_round/talari-networks-series-e--f120f064,Talari Networks,https://www.crunchbase.com/organization/talari-networks,Series E,999997,USD,999997,2017-07-10,"Enterprise Software, Information Technology, Software, Telecommunications, Video, Virtual Reality, VoIP","San Jose, California, United States, North America",,9,M&A
Venture Round - Strong Force Intellectual Capital,https://www.crunchbase.com/funding_round/strong-force-intellectual-capital-series-unknown--6aa93771,Strong Force Intellectual Capital,https://www.crunchbase.com/organization/strong-force-intellectual-capital,Venture - Series Unknown,7750000,USD,7750000,2017-07-10,"Financial Services, Internet of Things, Marketing","Santa Monica, California, United States, North America",,1,
Venture Round - Farapulse,https://www.crunchbase.com/funding_round/iowa-approach-series-unknown--0369665d,Farapulse,https://www.crunchbase.com/organization/iowa-approach,Venture - Series Unknown,5000000,USD,5000000,2017-07-10,"Fitness, Health Care, Medical","Menlo Park, California, United States, North America",Less than $1M,5,Early Stage Venture
Pre Seed Round - Virgo Surgical Video Solutions,https://www.crunchbase.com/funding_round/virgo-marketing-pre-seed--a38f3ab1,Virgo Surgical Video Solutions,https://www.crunchbase.com/organization/virgo-marketing,Pre-Seed,100000,USD,100000,2017-07-10,"Artificial Intelligence, Cloud Computing, Computer Vision, Health Care, Medical, Medical Device, Video","San Francisco, California, United States, North America",,2,Seed
Seed Round - Incredible Health,https://www.crunchbase.com/funding_round/incredible-health-seed--543ddf67,Incredible Health,https://www.crunchbase.com/organization/incredible-health,Seed,,,,2017-07-11,"Health Care, Human Resources, Recruiting","San Francisco, California, United States, North America",$1M to $10M,3,Early Stage Venture
Series A - Genoox,https://www.crunchbase.com/funding_round/genoox-series-a--f8709cdc,Genoox,https://www.crunchbase.com/organization/genoox,Series A,6000000,USD,6000000,2017-07-11,"Cloud Data Services, Genetics, Health Care, Health Diagnostics, Personal Health","Palo Alto, California, United States, North America",$1M to $10M,5,Early Stage Venture
Series A - Ephesoft,https://www.crunchbase.com/funding_round/ephesoft-series-a--6801ca9c,Ephesoft,https://www.crunchbase.com/organization/ephesoft,Series A,15000000,USD,15000000,2017-07-11,"Finance, Financial Services, Software","Laguna Hills, California, United States, North America",$10M to $50M,1,Early Stage Venture
Series A - Gong.io,https://www.crunchbase.com/funding_round/gong-io-series-a--171fe8af,Gong.io,https://www.crunchbase.com/organization/gong-io,Series A,20000000,USD,20000000,2017-07-12,"Artificial Intelligence, CRM, Information Technology, Machine Learning, Sales, Software","San Francisco, California, United States, North America",$10M to $50M,6,Late Stage Venture
Post-IPO Debt - Humanigen,https://www.crunchbase.com/funding_round/kalobios-pharmaceuticals-post-ipo-debt--4fa62bd7,Humanigen,https://www.crunchbase.com/organization/kalobios-pharmaceuticals,Post-IPO Debt,5000000,USD,5000000,2017-07-12,"Biotechnology, Health Care, Pharmaceutical","Brisbane, California, United States, North America",Less than $1M,10,IPO
Series D - Lightbend,https://www.crunchbase.com/funding_round/typesafe-series-d--8cca5ecd,Lightbend,https://www.crunchbase.com/organization/typesafe,Series D,15000000,USD,15000000,2017-07-12,"Big Data, Cloud Computing, Data Integration, Enterprise Applications, Enterprise Software, Information Technology, Internet, Software, Software Engineering","San Francisco, California, United States, North America",$1M to $10M,8,
Series A - E-scape Bio,https://www.crunchbase.com/funding_round/e-scape-bio-series-a--065861db,E-scape Bio,https://www.crunchbase.com/organization/e-scape-bio,Series A,63000000,USD,63000000,2017-07-12,"Biotechnology, Health Care, Medical","San Francisco, California, United States, North America",,2,Early Stage Venture
Pre Seed Round - Harbor,https://www.crunchbase.com/funding_round/harbor-pension-pre-seed--183fdd34,Harbor,https://www.crunchbase.com/organization/harbor-pension,Pre-Seed,100000,USD,100000,2017-07-12,"Career Planning, Financial Services, Security","San Francisco, California, United States, North America",,1,Seed
Venture Round - Gridspace,https://www.crunchbase.com/funding_round/gridspace-series-unknown--ea1af7db,Gridspace,https://www.crunchbase.com/organization/gridspace,Venture - Series Unknown,,,,2017-07-12,"Business Development, Information Technology, Software, Speech Recognition, Telecommunications","San Francisco, California, United States, North America",$1M to $10M,4,
Seed Round - 100Plus,https://www.crunchbase.com/funding_round/100plus-seed--1baf20fa,100Plus,https://www.crunchbase.com/organization/100plus,Seed,3000000,USD,3000000,2017-07-13,"Consumer Electronics, Fitness, Health Care, Software, Wellness","San Francisco, California, United States, North America",Less than $1M,6,Seed
"Equity Crowdfunding - Zoi, Inc.",https://www.crunchbase.com/funding_round/zoi-inc-equity-crowdfunding--1e5492fb,"Zoi, Inc.",https://www.crunchbase.com/organization/zoi-inc,Equity Crowdfunding,51863,USD,51863,2017-07-13,"Consumer Electronics, Health Care, Robotics, Software, Virtual Reality","Los Angeles, California, United States, North America",Less than $1M,1,
Post-IPO Equity - Avidbank,https://www.crunchbase.com/funding_round/avidbank-holdings-post-ipo-equity--11f31ee5,Avidbank,https://www.crunchbase.com/organization/avidbank-holdings,Post-IPO Equity,20011598,USD,20011598,2017-07-13,"Finance, FinTech, Real Estate","Palo Alto, California, United States, North America",$10M to $50M,3,IPO
Seed Round - BloomAPI,https://www.crunchbase.com/funding_round/bloomapi-seed--94d0d20b,BloomAPI,https://www.crunchbase.com/organization/bloomapi,Seed,2400000,USD,2400000,2017-07-13,"Health Care, Hospital, Medical","San Francisco, California, United States, North America",$1M to $10M,1,Seed
Seed Round - MyLabBox,https://www.crunchbase.com/funding_round/mylabbox-seed--32622768,MyLabBox,https://www.crunchbase.com/organization/mylabbox,Seed,1084728,USD,1084728,2017-07-13,"E-Commerce, Health Care, Health Diagnostics, Medical","Los Angeles, California, United States, North America",$1M to $10M,4,Seed
Venture Round - Akoya Biosciences,https://www.crunchbase.com/funding_round/akoya-biosciences-series-unknown--65e67fde,Akoya Biosciences,https://www.crunchbase.com/organization/akoya-biosciences,Venture - Series Unknown,9000000,USD,9000000,2017-07-14,"Biotechnology, Health Care, Life Science","Menlo Park, California, United States, North America",$10M to $50M,3,Late Stage Venture
Seed Round - Fleet,https://www.crunchbase.com/funding_round/fleet-3-seed--34b64754,Fleet,https://www.crunchbase.com/organization/fleet-3,Seed,,,,2017-07-14,"CRM, Information Technology, iOS, Logistics, Software","Palo Alto, California, United States, North America",,1,Seed
Seed Round - Dark,https://www.crunchbase.com/funding_round/dark-seed--811b298f,Dark,https://www.crunchbase.com/organization/dark,Seed,3500000,USD,3500000,2017-07-15,"Apps, Information Technology, Software","San Francisco, California, United States, North America",,1,Seed
Debt Financing - Camino Financial,https://www.crunchbase.com/funding_round/camino-financial-debt-financing--424488b4,Camino Financial,https://www.crunchbase.com/organization/camino-financial,Debt Financing,800000,USD,800000,2017-07-15,"Commercial Lending, Credit, Financial Services, FinTech, Small and Medium Businesses","Los Angeles, California, United States, North America",$1M to $10M,9,Early Stage Venture
Grant - kēlaHealth,https://www.crunchbase.com/funding_round/kelahealth-grant--7bc882cd,kēlaHealth,https://www.crunchbase.com/organization/kelahealth,Grant,225000,USD,225000,2017-07-15,"Information Services, Information Technology, Software","San Francisco, California, United States, North America",Less than $1M,3,Seed
Seed Round - Crossing Minds,https://www.crunchbase.com/funding_round/crossing-minds-seed--12cefb25,Crossing Minds,https://www.crunchbase.com/organization/crossing-minds,Seed,3500000,USD,3500000,2017-07-15,"Artificial Intelligence, Information Technology, Machine Learning","San Francisco, California, United States, North America",,2,Seed
Convertible Note - PatternEx,https://www.crunchbase.com/funding_round/patternex-convertible-note--7c4dafcf,PatternEx,https://www.crunchbase.com/organization/patternex,Convertible Note,,,,2017-07-16,"Artificial Intelligence, Information Technology, Security, Software","San Jose, California, United States, North America",$1M to $10M,3,
Series A - SpaceIQ,https://www.crunchbase.com/funding_round/spaceiq-series-a--1675cadd,SpaceIQ,https://www.crunchbase.com/organization/spaceiq,Series A,7000000,USD,7000000,2017-07-16,"Business Development, Cloud Data Services, Commercial Real Estate, Facility Management, Information Technology, Real Estate, SaaS, Software","Mountain View, California, United States, North America",$1M to $10M,3,M&A
Seed Round - Stackin',https://www.crunchbase.com/funding_round/stackin-seed--9ac967e8,Stackin',https://www.crunchbase.com/organization/stackin,Seed,,,,2017-07-17,"Finance, FinTech, Messaging, Personal Finance","Los Angeles, California, United States, North America",$1M to $10M,3,Early Stage Venture
Seed Round - anthro.is,https://www.crunchbase.com/funding_round/anthro-is-seed--2a820aeb,anthro.is,https://www.crunchbase.com/organization/anthro-is,Seed,700000,USD,700000,2017-07-17,"Information Services, Information Technology, Marketing","San Diego, California, United States, North America",$1M to $10M,1,Seed
Series A - JOANY,https://www.crunchbase.com/funding_round/impact-health-series-a--f69bb27a,JOANY,https://www.crunchbase.com/organization/impact-health,Series A,13000000,USD,13000000,2017-07-17,"Health Care, Insurance, Internet, SaaS","Los Angeles, California, United States, North America",$1M to $10M,7,Early Stage Venture
Convertible Note - DirecTech Labs,https://www.crunchbase.com/funding_round/directechlabs-convertible-note--1ff6b9d7,DirecTech Labs,https://www.crunchbase.com/organization/directechlabs,Convertible Note,100000,USD,100000,2017-07-17,"Direct Sales, Information Technology, Machine Learning, Predictive Analytics, Social CRM","Santa Monica, California, United States, North America",Less than $1M,5,Seed
Series B - Alation,https://www.crunchbase.com/funding_round/alation-series-b--9dd27944,Alation,https://www.crunchbase.com/organization/alation,Series B,23000000,USD,23000000,2017-07-18,"Analytics, Big Data, Business Intelligence, Data Integration, Information Technology, Software","Redwood City, California, United States, North America",$50M to $100M,4,Late Stage Venture
Seed Round - Mira,https://www.crunchbase.com/funding_round/mira-labs-seed--a30ba678,Mira,https://www.crunchbase.com/organization/mira-labs,Seed,1500000,USD,1500000,2017-07-18,"Augmented Reality, Business Development, Computer, Hardware, Information Technology, Mobile, Service Industry, Software","Los Angeles, California, United States, North America",$1M to $10M,3,Seed
Series C - Menlo Therapeutics,https://www.crunchbase.com/funding_round/menlo-therapeutics-series-c--e9c2ddda,Menlo Therapeutics,https://www.crunchbase.com/organization/menlo-therapeutics,Series C,50500000,USD,50500000,2017-07-18,"Health Care, Pharmaceutical, Therapeutics","Menlo Park, California, United States, North America",$10M to $50M,3,IPO
Series C - Silk Road Medical,https://www.crunchbase.com/funding_round/silk-road-medical-series-c--16ffcace,Silk Road Medical,https://www.crunchbase.com/organization/silk-road-medical,Series C,47000000,USD,47000000,2017-07-18,"Health Care, Medical, Medical Device","Sunnyvale, California, United States, North America",$10M to $50M,7,IPO
Series A - StackRox,https://www.crunchbase.com/funding_round/stackrox-series-a--f3fb8ccb,StackRox,https://www.crunchbase.com/organization/stackrox,Series A,14000000,USD,14000000,2017-07-18,"Artificial Intelligence, Cloud Computing, Cyber Security, Enterprise Software, Information Technology, Machine Learning, Security, Software","Mountain View, California, United States, North America",$1M to $10M,3,Early Stage Venture
Grant - Stanford University School of Medicine,https://www.crunchbase.com/funding_round/stanford-university-school-of-medicine-grant--5ac5f93b,Stanford University School of Medicine,https://www.crunchbase.com/organization/stanford-university-school-of-medicine,Grant,10000000,USD,10000000,2017-07-19,"Clinical Trials, Education, Health Care, Medical","Stanford, California, United States, North America",,1,
Seed Round - ScaleFT,https://www.crunchbase.com/funding_round/scaleft-seed--124e3bfc,ScaleFT,https://www.crunchbase.com/organization/scaleft,Seed,2000000,USD,2000000,2017-07-19,"Cloud Computing, Electronics, Information Technology, Infrastructure, Security, Software","San Francisco, California, United States, North America",,2,M&A
Venture Round - AxiaMed,https://www.crunchbase.com/funding_round/axiamed-series-unknown--e75db76d,AxiaMed,https://www.crunchbase.com/organization/axiamed,Venture - Series Unknown,3350073,USD,3350073,2017-07-19,"FinTech, Health Care, Payments, SaaS","Santa Barbara, California, United States, North America",$10M to $50M,2,Private Equity
Series B - Simplify Medical,https://www.crunchbase.com/funding_round/simplify-medical-series-b--bcebbc46,Simplify Medical,https://www.crunchbase.com/organization/simplify-medical,Series B,21000000,USD,21000000,2017-07-19,"Health Care, Manufacturing, Medical, Medical Device","Mountain View, California, United States, North America",$1M to $10M,2,Early Stage Venture
Series B - Karmic Labs,https://www.crunchbase.com/funding_round/karmic-labs-series-b--fe7f64d5,Karmic Labs,https://www.crunchbase.com/organization/karmic-labs,Series B,17200000,USD,17200000,2017-07-19,"FinTech, Payments","San Francisco, California, United States, North America",Less than $1M,3,Early Stage Venture
Seed Round - eatOS by POSLABS,https://www.crunchbase.com/funding_round/poslabs-inc-seed--6a1e0e30,eatOS by POSLABS,https://www.crunchbase.com/organization/poslabs-inc,Seed,50000,USD,50000,2017-07-19,"Big Data, Information Technology, Mobile Apps, Point of Sale, Restaurants","West Hollywood, California, United States, North America",,5,Seed
Series A - Molekule,https://www.crunchbase.com/funding_round/molekule-series-a--27197b87,Molekule,https://www.crunchbase.com/organization/molekule,Series A,10100000,USD,10100000,2017-07-19,"Health Care, Product Design, Wellness","San Francisco, California, United States, North America",$1M to $10M,5,Late Stage Venture
